NCESSCH,SCH_NAME,LEA_NAME,LSTREET1,LCITY,LSTATE,LZIP
190354000049,Sawyer Elementary School,Ames Comm School District,4316 Ontario St,Ames,IA,50010
190354000050,Ames High School,Ames Comm School District,1801 Ridgewood Drive,Ames,IA,50010
190354000052,Edwards Elementary School,Ames Comm School District,820 Miller Ave,Ames,IA,50014
190354000053,Fellows Elementary School,Ames Comm School District,1235 20th St.,Ames,IA,50010
190354000054,Mitchell Elementary School,Ames Comm School District,3521 Jewel Dr,Ames,IA,50010
190354000056,Meeker Elementary School,Ames Comm School District,300 20th Street,Ames,IA,50010
190354000060,Ames Middle School,Ames Comm School District,3915 Mortensen Road,Ames,IA,50014
190354001906,Northwood Pre-School,Ames Comm School District,3012 Duff Avenue,Ames,IA,50010
